id,nombre,nombre_norm,actividad,direccion,telefono,email,sitio_web,instagram,facebook,linkedin,logo_url,logo_origen,contacto_nombre,descripcion,ubicacion,cuit
172,AGRO SUPPLIES S.R.L.,agro supplies,Comercialización de combustibles Axion y lubricantes Castrol,Balcarce 543 (4400) Salta,(0387) 4221800,agrosuppliessrl@gmail.com,,,,,https://capemisa.com.ar/wp-content/uploads/2021/08/Agro_Supplies.jpg,camara,Luis A. Ritzer / Juan de Dios Saravia,,,
320,Agroindustrias San Antonio Envases,agroindustrias san antonio envases,Ind. Agroindustrias y Alimentos,Palermo 601 (sobre Ruta Nac. 34) Gral. Güemes,+54 387 491 1414,info@sanantonioenvases.com,https://www.sanantonioenvases.com,,,,https://uis.com.ar/storage/2024/07/san-antonio.jpg,camara,,"Envases San Antonio es una Empresa Argentina fundada en 1.992 dedicada desde su creación a la fabricación de Envases de Madera para frutas y Hortalizas y Pallets para diversas aplicaciones y destinos. Nuestra Empresa esta basada en los pilares de Cumplimiento, Calidad, y Respeto por el Cliente. Prueba de ello es nuestro incesante crecimiento. Trabajamos para ello en una integración vertical,elaborando nuestros productos con materia prima propia, desde la extracción forestal, hasta la distribución del producto terminado al empaque del cliente. Nuestra Casa Central está ubicada en la ciudad de General Güemes, Provincia de Salta, centro equidistante de las zonas de producción frutihortícola de todo el Noroeste Argentino. Conscientes de la necesidad de abarcar otras zonas de producción frutihortícolas y de atender las necesidades de nuestros Clientes, que también trabajan en más de una zona en el país, abrimos nuevas plantas de producción en la ciudad de Orán (Salta), como así también en las provincias de Buenos Aires y Mendoza.",Gral Güemes,
363,Aguilar D´Andrea y Asociados,aguilar d andrea y asociados,Servicios jurídicos,"G. Pulo 40, A4406ANB Salta",(54-387) 4225258,recepcion@aguilarasociados.com.ar,https://aguilarasociados.com.ar,,,,https://aguilarasociados.com.ar/assets/img/logo.svg,sitio_oficial,,,Salta,
2,AGV Group,agv,"Servicios de movimientos de suelo, logística, obras para la minería, alquiler de máquinas.",Av. Asunción 1850 (4400) Salta,(0387) 155 235 852,fkvedaras@grupoagv.com.ar,https://www.grupoagv.com.ar/es/,https://www.instagram.com/grupoagv/,https://www.facebook.com/GRUPO-AGV-100063595148229/,https://www.linkedin.com/company/grupo-agv/,https://cmsalta.com.ar/wp-content/uploads/2022/05/agv-logo-color.png,camara,Francisco Kvedaras / Diego Pestaña,"Grupo AGV es un grupo de empresas líderes que brinda soluciones integrales a la minería, la construcción, la industria y la agroindustria. Con un servicio de excelencia y altos estándares de calidad, abarcan todas las etapas de un proyecto, comprometidos siempre con la sostenibilidad y el progreso.
AGV Falcon Drilling, AGV Servicios Mineros y AGV Máquinas son las empresas que, en el sector, impulsan el desarrollo sustentable de todas las actividades, innovando en el Norte Argentino, honrando nuestro compromiso con el medio ambiente, priorizando la integridad de las personas, y el bienestar de la comunidad.
Todas las operaciones del Grupo se concentran en la Ciudad de Salta. Y en la Puna salteña cuentan con 3 bases logísticas, ubicadas estratégicamente para responder de manera rápida y efectiva a los requerimientos de los clientes del sector: Laguna Seca, Tolar Grande y San Antonio de los Cobres.",Salta,
242,AGV FALCON DRILLING SRL,agv falcon drilling,Perforaciones con diamantina,Av. Asunción 1850 (4400) Salta,(0387) 155 203 690,svaldez@grupoagv.com.ar,http://agvfalcondrilling.cl/,,,,https://capemisa.com.ar/wp-content/uploads/2021/08/agvfalcon_a_200px.jpg,camara,Santiago Valdez,,,
259,AIROX ARGENTINA S.A.S.,airox argentina,"Gases medicinales, industriales y de laboratorio.",Lote 12 Parque Industrial Güemes (4430) Gral. Güemes Salta,(0387) 154 535 731,airoxsas@gmail.com,https://oxitesa.com/,https://www.instagram.com/oxitesa/,https://www.facebook.com/Oxitesa-102438275458043/,https://www.linkedin.com/in/oxitesaargentina/,https://capemisa.com.ar/wp-content/uploads/2023/02/Captura-de-pantalla-2023-02-12-a-las-23.41.22-1024x349.png,camara,Álvaro Herrera,,,
247,ALBIERO SISTEMAS DE SEGURIDAD,albiero sistemas de seguridad,Seguridad,Alvarado 1464 (4400) Salta,(0387) 4218800,pablo.estevez@albieroseguridad.com.ar,https://albieroseguridad.com.ar/,,,,https://capemisa.com.ar/wp-content/uploads/2021/08/ALBIERO.jpg,camara,Pablo Estevez,,,
3,Aldebaran Resources Inc.,aldebaran resources,"Exploración — Mineral: Cobre, Oro, Plata, Molibdeno — Fase: Exploración Avanzada",,,,https://www.aldebaranresources.com/,,,https://www.linkedin.com/company/aldebaran-resources/,https://cmsalta.com.ar/wp-content/uploads/2022/05/aldebaranlogo.jpeg,camara,,,"Rio Grande, Tolar Grande",
44,ALIMENTACIÓN SALUDABLE S.R.L.,alimentacion saludable,Elaboración de comida para llevar,"Leguizamón 1199, Salta",(0387) 4218542,administracion@come-sano.com.ar,https://www.come-sano.com.ar/,https://www.instagram.com/comesanosalta/,https://www.facebook.com/comesanosalta/,,https://www.come-sano.com.ar/img/logo-pixelio.svg,sitio_oficial,Mercedes San Millán,,,
321,Alliance One Tobacco Argentina S.A.,alliance one tobacco argentina,Ind. Tabacalera,"Estacion Zuviria A4421XAU El Carril, Salta Argentina",54-387-490-8018 / 21,,https://http://aointl.com/contact/around-world/south-america#south-america,,,,https://uis.com.ar/storage/2024/07/alliance-one.jpg,camara,,"Alliance One Tobacco Argentina S.A. es una empresa que se dedica a la compra y venta de tabaco en hoja independiente. Es un comerciante líder en el sector tabaco en hoja, ofreciendo servicios a fabricantes multinacionales de productos de tabaco de consumo y otros productos del tabaco a consumidores en más de 90 países. La empresa opera en más de 45 países y se destaca por su capacidad de suministrar la mayor parte de la hoja necesaria para la producción de cigarrillos a fabricantes de cigarrillos y otros productos del tabaco.",El Carril,
4,Alpha Lithium – Proyecto Tolillar,alpha lithium proyecto tolillar,Mineral: Litio — Fase: Exploración avanzada,,,,https://alphalithium.com/,,,,https://cmsalta.com.ar/wp-content/uploads/2022/05/alphalilogo.jpeg,camara,,,Salar de Tolillar,
119,ALTO ANDINA SOLUCIONES MODULARES,alto andina soluciones modulares,Fabricación de módulos habitacionales a partir de contenedores marítimos reciclados,Los Aromos 26 (4401) Vaqueros Salta,(0387) 154 428 493 / 154 046 023,info@altoandina.com.ar,https://altoandina.com.ar/es/,https://www.instagram.com/altoandinasm/,https://www.facebook.com/altoandinasm/,,https://capemisa.com.ar/wp-content/uploads/2021/08/alto_andina.jpg,camara,Agustín Torino,,,
173,ALVEAR S.A.S.,alvear,"Pinturería especializada en hogar, obras, pinturas industriales e impermeabilización.",Alvear 693 Salta,(03872) 287 736,lchuchuy@alvearsas.com.ar,http://www.alvearsas.com.ar/,,,,https://capemisa.com.ar/wp-content/uploads/2024/06/alvear-1024x1024.png,camara,Luciano Chuchuy,,,
260,AMALGAMA LITHIUM ARGENTINA S.A.S,amalgama lithium argentina,Comercialización de reagentes. Provisión de válvulas y accesorios. Geomembranas,Leguizamón 421 2°A Salta,,tomas.patron@amlg.com.ar,,,,,https://capemisa.com.ar/wp-content/uploads/2021/11/logo-1.png,camara,Tomás Patrón Costas,,,
120,AMARELA S.A.,amarela,"Venta y alquiler de maquinarias viales, camiones, grupo electrógenos y minibuses. Servicio mecánico.",Av. Paraguay 2870 Salta,(0387) 156 137 420 / 4272000,comercialmineria.amarela@gmail.com,https://amarelasa.com/,,,,https://capemisa.com.ar/wp-content/uploads/2024/04/amarela.png,camara,Alejandra Alvarez / Federico Cardoso / Miguel Esliman,,,
150,AMINCO S.R.L.,aminco,"Servicios de apoyo a la minería, a la industria del petróleo, generación de energías e ingeniería.",Av. Savio 1035 B° Grand Bourg (4400) Salta,(0387) 154 524 300,info@aminco.com.ar,https://www.aminco.ar/,https://www.instagram.com/amincosrlsalta,https://www.facebook.com/amincosalta,https://ar.linkedin.com/in/aminco-s-r-l-5b273316a,https://www.aminco.ar/imgs/logo.svg,sitio_oficial,Hugo Oscar Calvo,,,
151,AMS TRADING & CONSULTING GROUP S.R.L.,ams trading consulting,Obras de ingeniería. Instalaciones industriales. Servicios de poZo. Provisión de equipos con operarios. Escolta y transporte de personal,"Las Palmeras S/N Catastro 2670, Vaqueros, Salta",(0387) 155 630 108 / 155 835 789,amsgroupargentina@gmail.com,,,,,https://capemisa.com.ar/wp-content/uploads/2025/01/cropped-LogoCapemisa-157x85.jpg,placeholder,Matías Arias,,,
63,ANALYTICS NOA,analytics noa,Laboratorio de análisis de muestras ambientales,"Dean Funes 1170, Salta",(0387) 227 8290,info@analyticsnoa.com.ar,https://analyticsnoa.com.ar/,https://www.instagram.com/analyticsnoa/,https://www.facebook.com/analyticsnoa,https://www.linkedin.com/company/analyticsnoa/,https://capemisa.com.ar/wp-content/uploads/2025/06/AnalyticsNOA-1.jpg,camara,Rodrigo Moreno Ten,,,
88,ANCRIS S.R.L.,ancris,Construcción y montaje industrial,"Alem 117, General Güemes, Salta (4430)",(0387) 154 641 464,rlavaque@ancrissrl.com.ar,http://ancrissrl.com.ar/,,,,https://capemisa.com.ar/wp-content/uploads/2025/01/ancris.png,camara,Rubén Lavaque,,,
243,ANDINA PERFORACIONES SRL,andina perforaciones,Perforaciones de Pozos de Agua – Obras Civiles,Av. San Martin 41 (4401) Vaqueros Salta,(0387) 4901148 / 154 034 032 / 156 833 618,info@andinaperforaciones.com.ar,,,,,https://capemisa.com.ar/wp-content/uploads/2021/08/andina_perforaciones_a_200px.jpg,camara,Miguel Fernando García / Federico Alberto Moya,,,
121,ANTONIO B ATENOR E HIJOS S.R.L.,antonio b atenor e hijos,Plásticos e Implementos Industriales,"Av, Independencia 748 (4400) Salta",(0387) 4230140,atenorgerencia@gmail.com,,,,,https://capemisa.com.ar/wp-content/uploads/2022/03/Logo_Atenor_-_2014-1024x291.jpg,camara,Sebastian Atenor / Gonzalo Atenor,,,
261,APANA,apana,Gestión logística para mineras. Escoltas mineros,"Av. Monseñor Tavella 4150, Salta",(0387) 155 900 765,apanalogistica@gmail.com / info@apana.com.ar,https://www.apana.com.ar/,,,https://ar.linkedin.com/company/apanasrl,https://capemisa.com.ar/wp-content/uploads/2026/04/apana.png,camara,Nicolás Reston,,,
206,ARAMIS S.A.S.,aramis,Servicios Mineros. Logística,"República de Siria 1077, Salta",(0387) 155 836 623,sebagomezm@aramissas.com,,,,,https://capemisa.com.ar/wp-content/uploads/2025/01/aramis-1024x1024.jpg,camara,Sebastian Gomez Martínez,,,
64,ARGAÑARAZ Y ASOCIADOS,arganaraz y asociados,Consultoría legal y medioambiental para empresas mineras. Apoyo logístico. Alquiler de vehículos livianos.,Gral. Güemes 1397 – (4400) Salta,(387) 154 046 750,rao@arganaraz.com,,,,,https://capemisa.com.ar/wp-content/uploads/2021/08/arganaraz.png,camara,Rafael Aurelio Argañaraz Olivero,,,
5,ARGENTUM LITHIUM S.A.,argentum lithium,,,,,,,,,https://cmsalta.com.ar/wp-content/uploads/2023/12/logotipo-arli.png,camara,,"El proyecto Arizaro es un proyecto de exploración desde el 2017, para la extracción de salmuera con el objetivo de la producción de Carbonato de Litio a través de la metodología de extracción directa  DLE, ubicado en Salta, y es operada por Minera ARLI S.A., subsidiaria de la empresa Lithium Chile. El proyecto Arizaro, según los recursos de  LCE al 27 de junio del 2023, estima una vida útil de 20 años.",Arizaro,
122,ARIZARO INDUSTRIA Y SERVICIO by DUO S.R.L.,arizaro industria y servicio by duo,"Venta de materiales, insumos y equipos para la industria minera, especializada en soluciones integrales de bombeo de fluidos. Único distribuidor oficial NOA de la marca XYLEM Inc.",Los Paraisos 75 Parque Industrial Güemes (4430) Gral. Güemes Salta,(0387) 155 787 879,gerencia@duo-arizaro.com,http://www.duo-arizaro.com/,,,,https://capemisa.com.ar/wp-content/uploads/2022/10/duo.jpeg,camara,José Manuel Simkin,,,
152,ARKADE INGENERÍA S.R.L,arkade ingeneria,Servicios de ingeniería,Necochea 145 (4400) Salta,(0387) 244 0263,info@arkade.cc,https://arkade.cc/,https://www.instagram.com/arkadeingenieria/,https://www.facebook.com/ArkadeIngenieria/,,https://capemisa.com.ar/wp-content/uploads/2021/08/arkade.jpg,camara,Ing. Diego Medina,,,
123,ARQ & TOP S.R.L.,arq top,Servicios topográficos y mecánica de suelos,M:28 C:32 B° San Carlos (4400) Salta,(0387) 4241286 / 155 120 505,arqytop@arqytop.com,https://arqytop.com/,https://www.instagram.com/arqytop/,https://www.facebook.com/ArqyTopMediciones,https://ar.linkedin.com/company/arqytop,https://capemisa.com.ar/wp-content/uploads/2021/08/logo-arqytop1.png,camara,Fernando R. García – Laura A. Cruz,,,
174,ARSUS S.A.S.,arsus,Venta de materiales de construcción en seco,Leguizamón 1023 (4400) Salta,(0387) 4224419 / 152 210 206,administracion@arsus.com.ar,https://www.arsus.com.ar/,https://www.instagram.com/arsus_construccionenseco/,https://www.facebook.com/arsus.construccionenseco/,,https://capemisa.com.ar/wp-content/uploads/2023/07/arsus.jpg,camara,,,,
262,ARTES GRAFICAS CRIVELLI,artes graficas crivelli,Imprenta,Caseros 1551 Salta,(0387) 4318300,silvana.crivelli@agcrivelli.com.ar,https://agcrivelli.com.ar/,,https://www.facebook.com/agcrivelli/,,https://capemisa.com.ar/wp-content/uploads/2025/01/Logo-ArtesGraficas.jpg,camara,Silvana Crivelli,"Artes Gráficas Crivelli es una empresa salteña que tiene como principal objetivo imprimir calidad. Con la fuerte convicción de saber que no hay nada que favorezca más a cualquier relación que una actitud abierta, respetuosa y amable, por ello, ofrecemos un asesoramiento especializado y personalizado. Abocados en hacer lo que es realmente importante para nuestros clientes, hacerlo siempre y cada vez mejor. Con una trayectoria impecable y reconocida en el medio y en el ambiente gráfico de todo el país.",Salta,
364,Asociación Mutual Sancor Salud,asociacion mutual sancor salud,Empresa de servicios,Zuviria 190 - Salta,Empresas: 0800 888 3677,,https://sancorsalud.com.ar,,,,https://sancorsalud.com.ar/favicon.svg,sitio_oficial,,"SanCor Salud es uno de los principales grupos empresarios de medicina prepaga de capital nacional, reconocido por su liderazgo en calidad de servicio y por su compromiso con el cuidado de la salud de las familias argentinas. Desde sus inicios, la organización se propuso ofrecer un servicio diferencial, enfocado en acompañar a las personas en los momentos más importantes de su vida. Con más de 300 puntos de atención distribuidos en todo el país y la red de profesionales más amplia del sector —integrada por más de 200.000 prestadores—, SanCor Salud se ha consolidado como una institución de confianza para 700.000 asociados y más de 3.500 empresas que eligen resguardar su bienestar. La compañía continúa expandiéndose para estar cada vez más cerca de sus clientes, desarrollando soluciones y coberturas pensadas para proteger el bienestar integral de individuos y organizaciones. Su propuesta incluye planes con amplias prestaciones esenciales, una Línea Exclusive con servicios premium para quienes buscan una experiencia superior, y la Línea Empresa, diseñada especialmente para responder a las necesidades del segmento corporativo.",Salta,
65,ASSET S.R.L.,asset,Consultoría. Desarrollo e inversiones Dirección: Leguizamón 559 2° piso (4400) Salta,Leguizamón 559 2° piso (4400) Salta,(0387) 154 029 457,facundoloutayf@gmail.com,http://www.assetcons.com.ar/,,,,https://capemisa.com.ar/wp-content/uploads/2021/08/asset.jpg,camara,José Facundo Loutayf Terán,,,
248,ATIEMPO SEGURIDAD S.R.L.,atiempo seguridad,"Seguridad física, electrónica y custodia de cargamento. Limpieza industrial.",Vicente López 1050 (4400) Salta,(0387) 155 600 8080 / 155 317 421,jmguerra@atiemposeguridad.com,http://atiemposeguridad.com/,https://www.instagram.com/atiemposeguridad.srl.oficial/,,,https://capemisa.com.ar/wp-content/uploads/2022/03/Captura-de-Pantalla-2022-03-17-a-las-12.01.13.png,camara,Juan Manuel Guerra,,,
322,Austin Powder Argentina S.A.,austin powder argentina,Ind. Química,"Ruta Nacional 16, km 653,5 (4444) El Galpón, Provincia de Salta",Tel.: +54 11 6841 5795,apa.comercial@austinpowder.com,https://austinpowder.com/argentina/home/,https://www.instagram.com/austin_argentina/,https://www.facebook.com/profile.php,https://www.linkedin.com/company/austin-powder-argentina/,https://uis.com.ar/storage/2024/07/austin-powder.jpg,camara,,"Austin Powder Argentina es la empresa líder del mercado argentino de explosivos, siendo proveedores de la industria minera; canteras, cementeras y caleras; e industria petrolera para prospección sísmica. En la localidad de El Galpón, en Salta, construyó un complejo de producción de nitrato de amonio. Este complejo productivo cuenta con cuatro plantas, una para la producción de amoníaco, otra para la producción de ácido nítrico, una para la producción de nitrato de amonio – que se fabrica mediante la mezcla de los productos anteriores-, y una cuarta de servicios generales. Las plantas producen 75.000 toneladas de nitrato de amonio por año destinadas a satisfacer las necesidades del mercado interno y exportaciones. La empresa también tiene Rafaela y Bella Italia, provincia de Santa Fe, produce emulsiones, ANFO, detonadores no eléctricos, detonadores electrónicos E*STAR, explosivos primarios, boosters y cordón detonante. También tiene base de operaciones en Olavarría, Buenos Aires, y en los proyectos Cerro Vanguardia, Anglogold Ashanti en Santa Cruz; Chinchillas, Puna Operations en Jujuy y Veladero, Barrick en San Juan. Austin Powder Argentina exporta desde Argentina a Uruguay, Perú, Bolivia, Chile, Brasil, Paraguay y Estados Unidos.",El Galpón,
124,AUTOLUX S.A.,autolux,Concesionario oficial Toyota,Av. Ex Combatiente de Malvinas 3571 FRENTE A ROTONDA DE LIMACHE (4400) Salta,(0387) 155 989 436,matias.issa@autolux.com.ar,https://autolux.com.ar/,https://www.instagram.com/autoluxtoyota/,,,https://capemisa.com.ar/wp-content/uploads/2021/08/Autolux-02.jpg,camara,Matias Issa,,,
323,Banco de la Nación Argentina,banco de la nacion argentina,Entidad Financiera,Avenida Belgrano esquina Mitre - Salta,Centro de Atención al Cliente: 0810-666-4444,,https://www.bna.com.ar,https://www.instagram.com/banconacion,http://www.facebook.com/banconacion/,https://www.linkedin.com/company/banconacion,https://www.bna.com.ar/Images/Logo___BNA.svg,sitio_oficial,,"El Banco de la Nación Argentina fue fundado en 1891 por iniciativa del Presidente Carlos Pellegrini, como un medio para resolver los embates de una devastadora crisis económica que afectaba, en especial, al sistema bancario existente en ese momento. De capital enteramente estatal, en pocos años abarcó en su giro a toda la geografía nacional y se convirtió en el mayor banco comercial argentino. A diciembre de 2025, el Banco cuenta con 709 sucursales a lo largo del país, 10 sucursales electrónicas, 7 puestos de promoción, 1 oficina administrativa, 3 sucursales móviles y su Casa Central. Asimismo, cuenta con 4 sucursales en el exterior (Nueva York, Madrid, Montevideo y Santa Cruz de la Sierra), 3 agencias (Miami, San Pablo y Asunción),  y 1 oficina de representación (Pekín) en China. El BNA cuenta con 3.136 cajeros automáticos, además de 15.373 empleados en el ámbito nacional y 194 empleados en el exterior.",Salta,
324,Banco Macro S.A.,banco macro,Entidad Financiera,España 421 - Salta,0810-555-2355.,,https://www.macro.com.ar,,,,https://uis.com.ar/storage/2024/07/macro.jpg,camara,,"Somos el banco privado con la mayor red de sucursales del país, posicionado como el número uno de los Bancos Nacionales de Capitales Privados. El grupo cuenta con 8.843 empleados, 1.772 cajeros automáticos, 957 terminales de autoservicio y una estructura de 500 puntos de atención. Macro inició sus actividades como institución financiera no bancaria con la adquisición de Macro Financiera en 1985. En 1988 fue autorizado por el Banco Central de la República Argentina para funcionar como banco comercial. Desde 1996, Macro adquirió paquetes accionarios de bancos provinciales privatizados: Banco Misiones (93%), Banco Salta (98%) y Banco Jujuy(100%).",Salta,
325,Baterplac,baterplac,Ind. Química,Avenida Miguel Rodríguez Durañona 1752 Parque Industrial 4406 Salta,0387 4281951,administracion.edna@baterias-edna.com.ar,https://bateriasedna.com.ar,https://www.instagram.com/bateriasedna/,https://www.facebook.com/BateriasEdna.oficial,,https://uis.com.ar/storage/2024/07/baterplac.jpg,camara,,"Nacimos en la ciudad de Salta en 1942, y desde entonces acompañamos el crecimiento de generaciones de trabajadores, familias y empresas en todo el país. En 1992 la empresa adquirió EDNA, incorporando una nueva visión de gestión enfocada en la innovación y la mejora continua. Esto aportó una perspectiva más moderna al negocio. Tenemos nuestra planta situada en el parque industrial de la ciudad de Salta, con más de 8.500 m² cubiertos. Equipada con un Espectrofotómetro de Absorción Atómica, un sistema de tratamiento de efluentes de avanzada y un riguroso control de calidad en cada etapa del proceso. Actualmente más de 150 personas componen nuestro capital humano en las diferentes áreas de la empresa.",Salta,
66,BAYTON SA,bayton,Personal eventual – Servicios de Consultoría,"Av. Del Bicentenario de la Batalla de Salta N° 27, Salta",(0387) 422 7000 / 155 109 425,rfernandez@bayton.com.ar,https://bayton.com/,https://www.instagram.com/baytongrupo/,https://www.facebook.com/BaytonArgentina,https://www.linkedin.com/company/baytonargentina/,https://bayton.com/hubfs/raw_assets/public/Bayton_February2022/images/logo.svg,sitio_oficial,René Fernandez,,,
89,BBC MINERIA S.A.,bbc mineria,Construcción,"Los Juncos 729, B° Tres Cerritos, Salta",,vitaliasorbera@bbcsa.com.ar,,,,,https://capemisa.com.ar/wp-content/uploads/2025/01/LogoCapemisa.jpg,placeholder,Emiliano Horacio Gómez Martínez,,,
67,BERGE & BAU PATAGONIA SA,berge bau patagonia,Consultoría en Gerenciamiento de Proyectos,Oficina NOA – Leguizamón 979 6° Piso “A” – Salta,0294-4679134,berge.bau@gmail.com,,,,,https://capemisa.com.ar/wp-content/uploads/2021/11/logo-1.png,camara,Ing. Claudio Zalewski,,,
90,BETON S.R.L.,beton,"Constructora de obras civiles, de arquitectura, industriales y electromecánicas. Servicios de hormigón elaborado.",Av. Tavella 1255 (4400) Salta,(0387) 4956000,josepalopoli@betonsrl.com.ar,http://www.betonsrl.com.ar/,,,,https://www.betonsrl.com.ar/public/images/logo-beton-srl.svg,sitio_oficial,Ing. José Palopoli,,,
125,BIG NORTH ARGENTINA,big north argentina,Venta de uniformes mineros de alto rendimiento,"Vicente Lopez 1275, Salta",(0387) 154 112 253,ventas@bignorth.com.ar,,,,,https://capemisa.com.ar/wp-content/uploads/2024/02/big-north-1016x1024.jpeg,camara,Facundo Toran Galvez,,,
326,Bio San Isidro S.A.,bio san isidro,Ind. Azucareras y derivados,Sgto. Cabral S/Nº - (A4432XAB) - Campo Santo - Salta,(+54 387) 4903353 / 4903386 / 4903481 / 4903508,comercial@ingsanisidro.com.ar,https://ingeniosanisidro.com.ar,,,,https://uis.com.ar/storage/2024/07/san-isidro.jpg,camara,,"Fuimos uno de los primeros ingenios en Sudamérica en producir productos orgánicos. Cumpliendo las más exigentes normativas internacionales de calidad iniciamos y crecimos en el desarrollo de estos productos que responden a una demanda de consumo creciente e irreversible en poblaciones de los cinco continentes. Producimos azúcar orgánica de alta y baja polaridad, mieles y melazas, alcohol Buen Gusto (para bebidas alcohólicas e industria farmacéutica) y alcohol anhidro, destinado a la fabricación de biocombustibles.",Salta,
229,BIONOA,bionoa,Laboratorio de análisis clínicos,"España 1321, Salta",(0387) 223 8300,contacto@bionoa.com.ar,https://bionoa.com.ar/,https://www.instagram.com/laboratoriobionoa/,https://www.facebook.com/LaboratorioBioNoa/,,https://capemisa.com.ar/wp-content/uploads/2025/01/bionoa.png,camara,Melisa Lemme,,,
